iteration,invoice_period,cum_interest_discounted,cum_interest_undiscounted,cum_retained_discounts,cum_total
2,2026-12-01,780285.7179528418,780285.7179528418,0.0,1560571.4359056836
2,2027-01-01,847928.7358346869,847928.7358346869,0.0,1695857.4716693738
3,2025-11-01,52385.346487685994,52385.346487685994,0.0,104770.69297537199
3,2025-12-01,127626.50290563928,127626.50290563928,0.0,255253.00581127856
3,2026-01-01,196482.2931843307,196482.2931843307,0.0,392964.5863686614
3,2026-02-01,255341.50613071726,255341.50613071726,0.0,510683.0122614345
3,2026-03-01,303201.8534951851,303201.8534951851,0.0,606403.7069903702
3,2026-04-01,341952.17762414797,341952.17762414797,0.0,683904.3552482959
3,2026-05-01,375871.0526103596,375871.0526103596,0.0,751742.1052207192
3,2026-06-01,410476.8051000481,410476.8051000481,0.0,820953.6102000962
3,2026-07-01,451068.57054235233,451068.57054235233,0.0,902137.1410847047
3,2026-08-01,501314.41612790176,501314.41612790176,0.0,1002628.8322558035
3,2026-09-01,562263.3312118748,562263.3312118748,0.0,1124526.6624237497
3,2026-10-01,632093.4843374662,632093.4843374662,0.0,1264186.9686749324
3,2026-11-01,706593.3123015303,706593.3123015303,0.0,1413186.6246030605
3,2026-12-01,780291.1895634036,780291.1895634036,0.0,1560582.3791268072
3,2027-01-01,847934.681779512,847934.681779512,0.0,1695869.363559024
4,2025-11-01,52382.85875639068,52382.85875639068,0.0,104765.71751278135
4,2025-12-01,127620.44204193067,127620.44204193067,0.0,255240.88408386134
4,2026-01-01,196472.96242329723,196472.96242329723,0.0,392945.92484659445
4,2026-02-01,255329.38020050232,255329.38020050232,0.0,510658.76040100463
4,2026-03-01,303187.4547216671,303187.4547216671,0.0,606374.9094433342
4,2026-04-01,341935.9386338423,341935.9386338423,0.0,683871.8772676846
4,2026-05-01,375853.2028442843,375853.2028442843,0.0,751706.4056885686
4,2026-06-01,410457.31193903054,410457.31193903054,0.0,820914.6238780611
4,2026-07-01,451047.1497162148,451047.1497162148,0.0,902094.2994324296
4,2026-08-01,501290.6091733733,501290.6091733733,0.0,1002581.2183467466
4,2026-09-01,562236.6298501575,562236.6298501575,0.0,1124473.259700315
4,2026-10-01,632063.4668068403,632063.4668068403,0.0,1264126.9336136805
4,2026-11-01,706559.7568434887,706559.7568434887,0.0,1413119.5136869773
4,2026-12-01,780254.1342618379,780254.1342618379,0.0,1560508.2685236759
4,2027-01-01,847894.4141515269,847894.4141515269,0.0,1695788.8283030537
